Site,Park,Year,WYear,Gradient,Long,Lat,Count
AKP_B10_RI_01,KATM,2009,0,21.64333333,429509.91,6464552,3
AKP_B10_RI_01,KATM,2010,1,21.64333333,429509.91,6464552,3
AKP_B10_RI_01,KATM,2012,3,21.64333333,429509.91,6464552,5
AKP_B10_RI_01,KATM,2013,4,21.64333333,429509.91,6464552,9
AKP_B10_RI_01,KATM,2014,5,21.64333333,429509.91,6464552,4
AKP_B10_RI_01,KATM,2015,6,21.64333333,429509.91,6464552,7
AKP_B10_RI_02,KATM,2013,4,22.21555556,412284.88,6451978.5,9
AKP_B10_RI_02,KATM,2014,5,22.21555556,412284.88,6451978.5,9
AKP_B10_RI_02,KATM,2009,0,22.21555556,412284.88,6451978.5,3
AKP_B10_RI_02,KATM,2012,3,22.21555556,412284.88,6451978.5,6
AKP_B10_RI_02,KATM,2010,1,22.21555556,412284.88,6451978.5,4
AKP_B10_RI_02,KATM,2015,6,22.21555556,412284.88,6451978.5,2
AKP_B10_RI_03,KATM,2010,1,22.16266667,406886.16,6441766,6
AKP_B10_RI_03,KATM,2009,0,22.16266667,406886.16,6441766,2
AKP_B10_RI_03,KATM,2014,5,22.16266667,406886.16,6441766,14
AKP_B10_RI_03,KATM,2015,6,22.16266667,406886.16,6441766,6
AKP_B10_RI_03,KATM,2013,4,22.16266667,406886.16,6441766,6
AKP_B10_RI_03,KATM,2012,3,22.16266667,406886.16,6441766,6
AKP_B10_RI_04,KATM,2010,1,20.75377778,413337.44,6450814,7
AKP_B10_RI_04,KATM,2012,3,20.75377778,413337.44,6450814,2
AKP_B10_RI_04,KATM,2013,4,20.75377778,413337.44,6450814,8
AKP_B10_RI_04,KATM,2009,0,20.75377778,413337.44,6450814,8
AKP_B10_RI_04,KATM,2014,5,20.75377778,413337.44,6450814,5
AKP_B10_RI_04,KATM,2015,6,20.75377778,413337.44,6450814,7
AKP_B10_RI_05,KATM,2015,6,21.00666667,413696.06,6438320.5,5
AKP_B10_RI_05,KATM,2014,5,21.00666667,413696.06,6438320.5,7
AKP_B10_RI_05,KATM,2013,4,21.00666667,413696.06,6438320.5,8
AKP_B10_RI_05,KATM,2010,1,21.00666667,413696.06,6438320.5,3
AKP_B10_RI_05,KATM,2009,0,21.00666667,413696.06,6438320.5,5
AKP_B10_RI_05,KATM,2012,3,21.00666667,413696.06,6438320.5,7
KEP_B05_RI_01,KEFJ,2009,0,17.80577778,686455.44,6647205.5,22
KEP_B05_RI_01,KEFJ,2011,2,17.80577778,686455.44,6647205.5,46
KEP_B05_RI_01,KEFJ,2012,3,17.80577778,686455.44,6647205.5,31
KEP_B05_RI_01,KEFJ,2010,1,17.80577778,686455.44,6647205.5,36
KEP_B05_RI_01,KEFJ,2015,6,17.80577778,686455.44,6647205.5,19
KEP_B05_RI_01,KEFJ,2014,5,17.80577778,686455.44,6647205.5,43
KEP_B05_RI_01,KEFJ,2013,4,17.80577778,686455.44,6647205.5,37
KEP_B05_RI_02,KEFJ,2015,6,15.07711111,649042.62,6597409,25
KEP_B05_RI_02,KEFJ,2009,0,15.07711111,649042.62,6597409,11
KEP_B05_RI_02,KEFJ,2013,4,15.07711111,649042.62,6597409,46
KEP_B05_RI_02,KEFJ,2014,5,15.07711111,649042.62,6597409,26
KEP_B05_RI_02,KEFJ,2010,1,15.07711111,649042.62,6597409,21
KEP_B05_RI_02,KEFJ,2011,2,15.07711111,649042.62,6597409,25
KEP_B05_RI_02,KEFJ,2012,3,15.07711111,649042.62,6597409,39
KEP_B05_RI_03,KEFJ,2012,3,17.93333333,635285.44,6602224,10
KEP_B05_RI_03,KEFJ,2013,4,17.93333333,635285.44,6602224,8
KEP_B05_RI_03,KEFJ,2010,1,17.93333333,635285.44,6602224,12
KEP_B05_RI_03,KEFJ,2009,0,17.93333333,635285.44,6602224,6
KEP_B05_RI_03,KEFJ,2011,2,17.93333333,635285.44,6602224,7
KEP_B05_RI_03,KEFJ,2014,5,17.93333333,635285.44,6602224,10
KEP_B05_RI_03,KEFJ,2015,6,17.93333333,635285.44,6602224,8
KEP_B05_RI_04,KEFJ,2015,6,15.48266667,633893,6589144,8
KEP_B05_RI_04,KEFJ,2013,4,15.48266667,633893,6589144,6
KEP_B05_RI_04,KEFJ,2009,0,15.48266667,633893,6589144,5
KEP_B05_RI_04,KEFJ,2011,2,15.48266667,633893,6589144,2
KEP_B05_RI_04,KEFJ,2014,5,15.48266667,633893,6589144,9
KEP_B05_RI_04,KEFJ,2012,3,15.48266667,633893,6589144,9
KEP_B05_RI_04,KEFJ,2010,1,15.48266667,633893,6589144,5
KEP_B05_RI_05,KEFJ,2010,1,16.42155556,669868.94,6629872.5,7
KEP_B05_RI_05,KEFJ,2009,0,16.42155556,669868.94,6629872.5,20
KEP_B05_RI_05,KEFJ,2015,6,16.42155556,669868.94,6629872.5,5
KEP_B05_RI_05,KEFJ,2012,3,16.42155556,669868.94,6629872.5,6
KEP_B05_RI_05,KEFJ,2013,4,16.42155556,669868.94,6629872.5,22
KEP_B05_RI_05,KEFJ,2014,5,16.42155556,669868.94,6629872.5,23
KEP_B05_RI_05,KEFJ,2011,2,16.42155556,669868.94,6629872.5,13
